k, Insert, search
10, 0.000385, 0.00027
11, 0.000847, 0.000297
12, 0.001886, 0.000279
13, 0.003258, 0.00025
14, 0.008259, 0.000267
15, 0.024051, 0.000286
16, 0.078193, 0.000303
17, 0.274934, 0.000328
18, 1.1377, 0.000362
19, 4.62416, 0.000396
20, 18.748, 0.000424
21, 75.2779, 0.000468
22, 355.333, 0.00058
23, 2528.48, 0.000896
