k, Insert, search
10, 0.000239, 9.4e-05
11, 0.000444, 8.8e-05
12, 0.000869, 9.4e-05
13, 0.001782, 9.4e-05
14, 0.003415, 9.5e-05
15, 0.007211, 0.000103
16, 0.014586, 0.000102
17, 0.029838, 0.000103
18, 0.063871, 0.000158
19, 0.15906, 0.000205
20, 0.412225, 0.000269
21, 1.00815, 0.000291
22, 2.30768, 0.000303
23, 5.05805, 0.000314
24, 10.7778, 0.000328
25, 22.9699, 0.000363
26, 48.6168, 0.000408
27, 115.052, 0.000512
